nume_actiune: adaugare_sarcina_pentru_acasa; timestamp: Wed Apr 24 19:26:31 CEST 2019
nume_actiune: adaugare_intalnire; timestamp: Wed Apr 24 19:27:07 CEST 2019
nume_actiune: adaugare_notita; timestamp: Wed Apr 24 19:27:36 CEST 2019
nume_actiune: adaugare_pagina_in_jurnal; timestamp: Wed Apr 24 19:28:22 CEST 2019
nume_actiune: afisare_categorii; timestamp: Wed Apr 24 19:28:26 CEST 2019
nume_actiune: stergere_notite; timestamp: Wed Apr 24 19:28:53 CEST 2019
nume_actiune: adaugare_notita; timestamp: Wed Apr 24 19:30:26 CEST 2019
nume_actiune: adaugare_notita; timestamp: Sat May 04 21:21:16 EEST 2019
nume_actiune: afisare_categorii; timestamp: Sat May 04 21:21:21 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 19:50:09 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 20:08:47 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 20:10:31 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 20:50:55 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 20:51:48 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 20:55:20 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 20:56:45 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 21:13:14 EEST 2019
nume_actiune: adaugare_notita; timestamp: Thu May 09 21:13:45 EEST 2019
nume_actiune: adaugare_intalnire; timestamp: Thu May 09 21:14:44 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 21:14:48 EEST 2019
nume_actiune: adaugare_intalnire; timestamp: Thu May 09 21:18:04 EEST 2019
nume_actiune: adaugare_intalnire; timestamp: Thu May 09 21:18:36 EEST 2019
nume_actiune: adaugare_intalnire; timestamp: Thu May 09 21:18:47 EEST 2019
nume_actiune: adaugare_intalnire; timestamp: Thu May 09 21:19:01 EEST 2019
nume_actiune: adaugare_intalnire; timestamp: Thu May 09 21:20:58 EEST 2019
nume_actiune: adaugare_intalnire; timestamp: Thu May 09 21:31:07 EEST 2019
nume_actiune: adaugare_intalnire; timestamp: Thu May 09 21:32:16 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 21:32:18 EEST 2019
nume_actiune: adaugare_notita; timestamp: Thu May 09 21:34:16 EEST 2019
nume_actiune: adaugare_pagina_in_jurnal; timestamp: Thu May 09 21:38:11 EEST 2019
nume_actiune: adaugare_lista_cumparaturi; timestamp: Thu May 09 21:48:32 EEST 2019
nume_actiune: adaugare_lista_cumparaturi; timestamp: Thu May 09 21:49:31 EEST 2019
nume_actiune: adaugare_lista_cumparaturi; timestamp: Thu May 09 21:50:18 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 21:54:29 EEST 2019
nume_actiune: stergere_intalniri; timestamp: Thu May 09 21:54:38 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 21:54:40 EEST 2019
nume_actiune: stergere_liste_cumparaturi; timestamp: Thu May 09 21:56:51 EEST 2019
nume_actiune: adaugare_intalnire; timestamp: Thu May 09 21:59:38 EEST 2019
nume_actiune: adaugare_lista_cumparaturi; timestamp: Thu May 09 21:59:58 EEST 2019
nume_actiune: adaugare_notita; timestamp: Thu May 09 22:00:12 EEST 2019
nume_actiune: adaugare_pagina_in_jurnal; timestamp: Thu May 09 22:00:35 EEST 2019
nume_actiune: stergere_totala_categorii; timestamp: Thu May 09 22:01:13 EEST 2019
nume_actiune: adaugare_intalnire; timestamp: Thu May 09 22:12:29 EEST 2019
nume_actiune: adaugare_intalnire; timestamp: Thu May 09 22:12:51 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 22:12:56 EEST 2019
nume_actiune: adaugare_intalnire; timestamp: Thu May 09 22:13:45 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 22:28:33 EEST 2019
nume_actiune: adaugare_lista_cumparaturi; timestamp: Thu May 09 22:28:50 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 22:28:52 EEST 2019
nume_actiune: adaugare_lista_cumparaturi; timestamp: Thu May 09 22:46:00 EEST 2019
nume_actiune: parasire_meniu_stergere; timestamp: Thu May 09 22:47:50 EEST 2019
nume_actiune: adaugare_intalnire; timestamp: Thu May 09 22:48:38 EEST 2019
nume_actiune: parasire_meniu_stergere; timestamp: Thu May 09 22:48:47 EEST 2019
nume_actiune: adaugare_lista_cumparaturi; timestamp: Thu May 09 23:00:13 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 23:17:29 EEST 2019
nume_actiune: adaugare_notita; timestamp: Thu May 09 23:17:40 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 23:19:46 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 23:20:51 EEST 2019
nume_actiune: adaugare_pagina_in_jurnal; timestamp: Thu May 09 23:23:00 EEST 2019
nume_actiune: adaugare_pagina_in_jurnal; timestamp: Thu May 09 23:23:05 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 23:23:06 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 23:28:07 EEST 2019
nume_actiune: stergere_pagini_jurnal; timestamp: Thu May 09 23:29:29 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 23:29:32 EEST 2019
nume_actiune: adaugare_pagina_in_jurnal; timestamp: Thu May 09 23:29:55 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 23:29:58 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 23:31:23 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 23:31:47 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 23:32:17 EEST 2019
nume_actiune: adaugare_pagina_in_jurnal; timestamp: Thu May 09 23:34:34 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 23:34:54 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 23:35:14 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 23:40:22 EEST 2019
nume_actiune: stergere_pagini_jurnal; timestamp: Thu May 09 23:40:42 EEST 2019
nume_actiune: adaugare_pagina_in_jurnal; timestamp: Thu May 09 23:44:29 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 23:44:31 EEST 2019
nume_actiune: adaugare_pagina_in_jurnal; timestamp: Thu May 09 23:44:45 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 23:44:46 EEST 2019
nume_actiune: afisare_categorii; timestamp: Thu May 09 23:45:22 EEST 2019
nume_actiune: adaugare_sarcina_pentru_acasa; timestamp: Mon May 13 18:02:28 EEST 2019
nume_actiune: afisare_categorii; timestamp: Mon May 13 18:02:32 EEST 2019
nume_actiune: afisare_categorii; timestamp: Mon May 13 18:22:16 EEST 2019
nume_actiune: parasire_meniu_adaugare; timestamp: Mon May 13 18:58:02 EEST 2019
nume_actiune: parasire_meniu_adaugare; timestamp: Mon May 13 18:58:55 EEST 2019
nume_actiune: adaugare_notita; timestamp: Mon May 13 23:57:00 EEST 2019; thread_name: main
nume_actiune: afisare_categorii; timestamp: Mon May 13 23:57:04 EEST 2019; thread_name: main
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 06:54:43 EEST 2019; thread_name: main
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 08:07:28 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 08:08:44 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 08:09:23 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 08:09:48 EEST 2019; thread_name: AWT-EventQueue-0
nume_actiune: adaugare_lista_cumparaturi; timestamp: Tue May 14 08:10:01 EEST 2019; thread_name: AWT-EventQueue-0
